call_count, inputs, weights, outputs, nb_iterations, d_cache_accesses, d_cache_misses, d_load, d_store, instret, cycles
3104, 0x8002fe78, 0x8000eb1c, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3105, 0x8002fe90, 0x8000eb20, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3106, 0x8002fea8, 0x8000eb24, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3107, 0x8002fec0, 0x8000eb28, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3108, 0x8002fe78, 0x8000eb2c, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3109, 0x8002fe90, 0x8000eb30, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3110, 0x8002fea8, 0x8000eb34, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3111, 0x8002fec0, 0x8000eb38, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3112, 0x8002fe78, 0x8000eb3c, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3113, 0x8002fe90, 0x8000eb40, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3114, 0x8002fea8, 0x8000eb44, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3115, 0x8002fec0, 0x8000eb48, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3116, 0x8002fe78, 0x8000eb4c, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3117, 0x8002fe90, 0x8000eb50, 0x8002fd4c, 4, 23, 1, 9, 1, 36, 66 
3118, 0x8002fea8, 0x8000eb54, 0x8002fd4c, 4, 23, 1, 9, 1, 36, 66 
3119, 0x8002fec0, 0x8000eb58, 0x8002fd4c, 4, 23, 1, 9, 1, 36, 66 
3120, 0x8002fe78, 0x8000eb5c, 0x8002fd4c, 4, 23, 1, 9, 1, 36, 66 
3121, 0x8002fe90, 0x8000eb60, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3122, 0x8002fea8, 0x8000eb64, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3123, 0x8002fec0, 0x8000eb68, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3124, 0x8002fe78, 0x8000eb6c, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3125, 0x8002fe90, 0x8000eb70, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
